image,question,answer
image4,What is there between the abscesses?,dark congestion of the renal surface
image4,Is there dark congestion of the renal surface between the abscesses?,yes
image4,Is acute rheumatic mitral valvulitis dark congestion of the renal surface between the abscesses?,no
image5,What is there in the septal walls and around the bronchiole?,presence of abundant coarse black carbon pigment bronchiole
image5,Where is presence of abundant coarse black carbon pigment?,in the septal walls and around the bronchiole
image5,Is there presence of abundant coarse black carbon pigment in the septal walls and around the bronchiole?,yes
image5,Is the interstitial vasculature presence of abundant coarse black carbon pigment in the septal walls and around the bronchiole?,no
image6,"Do a few interspersed neutrophils,  much smaller in size and with compact,  lobate nuclei,  point to inflammation surrounding islet of Langerhans?",no
image6,What point to inflammation surrounding islet of Langerhans?,arrows
image6,Are the surrounding acinar structures essentially normal?,yes
image6,Are clusters of pigmented hepatocytes with eosinophilic cytoplasm essentially normal?,no
image7,Is deposition of antibody on endothelium and activation of complement seen in the upper right corner?,no
image7,What is a Homer-Wright pseudorosette?,tumor cells arranged concentrically around central core of neuropil
image7,What is seen in the upper right corner?,a homer-wright pseudorosette 
image7,Is the late-phase reaction composed of small cells embedded in a finely fibrillar matrix?,no
image7,Is this tumor composed of small cells embedded in a finely fibrillar matrix?,yes
image7,Is a Homer-Wright pseudorosette seen in the upper right corner?,yes
image7,What is this tumor composed of?,small cells embedded in finely fibrillar matrix (neuropil)
image7,What is composed of small cells embedded in a finely fibrillar matrix?,the tumor
image8,Does sectioned surface show markedly dilated pelvis and calyces having irregular and ragged inner surface and containing necrotic debris and pus?,yes
image8,What shows markedly dilated pelvis and calyces having irregular and ragged inner surface and containing necrotic debris and pus?,sectioned surface
image8,Does the incised wound as well as suture track on either side show markedly dilated pelvis and calyces having irregular and ragged inner surface and containing necrotic debris and pus?,no
image9,"Do iron deposits shown by a special staining process demonstrate capsular invasion that may be minimal,  as in this case,  or widespread,  with extension into local structures of the neck by contrast?",no
image9,"Do follicular carcinomas demonstrate capsular invasion that may be minimal,  as in this case,  or widespread,  with extension into local structures of the neck by contrast?",yes
image9,What do follicular carcinomas demonstrate?,capsular invasion
image9,"What demonstrate capsular invasion that may be minimal,  as in this case,  or widespread,  with extension into local structures of the neck by contrast?",follicular carcinomas
image10,"Are a few interspersed neutrophils,  much smaller in size and with compact,  lobate nuclei,  evident?",no
image10,Are the bridging strands of fibrous tissues evident?,yes
image11,Are the vascular changes necrotising arteriolitis and hyperplastic intimal sclerosis or onion-skin proliferation?,yes
image11,Are numbers necrotising arteriolitis and hyperplastic intimal sclerosis or onion-skin proliferation?,no
image11,"What are tubular loss, fine interstitial fibrosis and foci of infarction necrosis?",parenchymal changes
image11,"Are the parenchymal changes tubular loss, fine interstitial fibrosis and foci of infarction necrosis?",yes
image11,"Are the bronchioles as well as the adjacent alveoli tubular loss, fine interstitial fibrosis and foci of infarction necrosis?",no
image11,How are the vascular changes?,necrotising arteriolitis and hyperplastic intimal sclerosis or onion-skin proliferation
image11,How are the parenchymal changes?,tubular loss
image12,Does the pink acellular amyloid material show mild fatty change of liver cells?,no
image12,What does the peripheral zone show?,mild fatty change of liver cells
image12,Does the peripheral zone show mild fatty change of liver cells?,yes
image12,What shows marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,centrilobular cells
image12,Does the centrilobular zone show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,yes
image12,What shows mild fatty change of liver cells?,the peripheral zone
image12,Does the cytoplasm show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,no
image12,What does the centrilobular zone show?,marked degeneration and necrosis of hepatocytes accompanied by haemorrhage
image13,"What is soft, lobulated, yellowish and greasy?",cut surface of the tumour
image14,"Do infected hepatocytes show diffuse granular cyto-plasm,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",yes
image14,"What do infected hepatocytes show,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",diffuse granular cyto-plasm
image14,"What show diffuse granular cyto-plasm,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",infected hepatocytes
image14,"Do those with tumors that had mycn amplification show diffuse granular cyto-plasm,  reflecting accumulated hepatitis B surface antigen HBsAg in chronic infections?",no
image15,Is histopathologic features of condyloma acuminatum associated with the spread of organisms in the perivascular spaces?,no
image15,Is the whole-brain section showing the numerous areas of tissue destruction associated with the spread of organisms in the perivascular spaces?,yes
image15,How did whole-brain section show the numerous areas of tissue destruction associate?,with the spread of organisms in the perivascular spaces
image15,What is associated with the spread of organisms in the perivascular spaces?,numerous areas tissue destruction
image16,"Do small nests of epithelial cells and myxoid stroma forming cartilage and bone contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",no
image16,"What contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",testicular teratomas
image16,What do testicular teratomas contain?,mature cells from endodermal
image16,"Do testicular teratomas contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",yes
image17,"Does low-power photomicrograph demonstrate a well-demarcated nodule at the right of the field,  with a portion of urethra seen to the left?",yes
image17,How does low-power photomicrograph demonstrate a well-demarcated nodule at the right of the field?,with a portion of urethra seen to the left
image17,"What demonstrates a well-demarcated nodule at the right of the field,  with a portion of urethra seen to the left?",low-power photomicrograph
image17,"Does four-chamber dilation and hypertrophy demonstrate a well-demarcated nodule at the right of the field,  with a portion of urethra seen to the left?",no
image17,"What is caused predominantly by stromal,  rather than glandular,  proliferation in other cases of nodular hyperplasia?",nodularity 
image17,What is the nodularity caused by in other cases of nodular hyperplasia?,stromal
image17,"Is typical tuberculous granuloma showing an area of central necrosis caused predominantly by stromal,  rather than glandular,  proliferation in other cases of nodular hyperplasia?",no
image17,"Is the nodularity caused predominantly by stromal,  rather than glandular,  proliferation in other cases of nodular hyperplasia?",yes
image18,What is caused by aging and reduced blood supply?,atrophy of the brain
image18,What of the brain is caused by aging?,atrophy 
image18,Is atrophy of the brain caused by aging and reduced blood supply?,yes
image18,Is reversible injury caused by aging and reduced blood supply?,no
image18,Have the necrotic cells been stripped from the bottom half of each specimen to show the surface of the brain?,no
image18,What have the meninges been stripped from?,the bottom half of each specimen
image18,Is atrophy seen in the brain?,yes
image18,What have been stripped from the bottom half of each specimen to show the surface of the brain?,the meninges
image18,Have the meninges been stripped from the bottom half of each specimen to show the surface of the brain?,yes
image19,Do common locations and the regions of involvement show central cystic change?,no
image19,What show central cystic change?,plexiform areas
image19,Do plexiform areas show irregular plexiform masses and network of strands of epithelial cells?,yes
image19,Do a few areas show central cystic change?,yes
image19,What do a few areas show?,central cystic change
image19,What show irregular plexiform masses and network of strands of epithelial cells?,plexiform areas
image19,Are epithelial follicles composed of central area of stellate cells and peripheral layer of cuboidal or columnar cells?,yes
image19,What are epithelial follicles composed of?,central area of stellate cells and peripheral layer of cuboidal or columnar cells
image19,What are composed of central area of stellate cells and peripheral layer of cuboidal or columnar cells?,epithelial follicles
image19,What do plexiform areas show?,irregular masses and network of strands of epithelial cells
image19,Are miliary composed of central area of stellate cells and peripheral layer of cuboidal or columnar cells?,no
image20,What is seen as glandular crowding and cellular atypia?,hyperplasia without atypia
image20,What is hyperplasia with atypia seen as?,glandular crowding and cellular atypia
image20,"Is a binucleate reed-sternberg cell with large,  inclusion-like nucleoli and abundant cytoplasm seen as glandular crowding and cellular atypia?",no
image20,Is hyperplasia with atypia seen as glandular crowding and cellular atypia?,yes
image21,"What shows combination of mucinous, squamous and intermediate cells?",tumour
image21,"Does the tumour show combination of mucinous, squamous and intermediate cells?",yes
image21,"Does normal bone marrow in an adult show combination of mucinous, squamous and intermediate cells?",no
image21,What does the tumour show?,combination of mucinous
image22,Is the kidney adherent to the adjacent ovary on the other side?,no
image22,Is the tube adherent to the adjacent ovary on the other side?,yes
image22,What are totally obscured by a hemorrhagic inflammatory mass?,the tube and ovary to the left of the uterus
image22,What is the tube adherent to?,the adjacent ovary on the other side
image22,What are the tube and ovary to the left of the uterus totally obscured by?,the hemorrhagic inflammatory mass
image22,Are the tube and ovary to the left of the uterus totally obscured by a hemorrhagic inflammatory mass?,yes
image22,Are edema totally obscured by a hemorrhagic inflammatory mass?,no
image22,What is adherent to the adjacent ovary on the other side?,the tube
image23,What does the complete hydatidiform mole consist of?,numerous swollen villi
image23,Does the cellular adaptation depicted here consist of numerous swollen villi?,no
image23,Does the complete hydatidiform mole consist of numerous swollen villi?,yes
image23,What consists of numerous swollen villi?,complete hydatidiform mole
image24,What are evident in this microscopic image?,distended hydropic villi and proliferation of the chorionic epithelium
image24,Are distended hydropic villi and proliferation of the chorionic epithelium evident in this microscopic image?,yes
image25,"Is borderline serous cystadenoma opened to show a large,  bulky tumor mass?",no
image26,"What is comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",epithelial element
image26,"Is the epithelial element comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",yes
image26,What is the epithelial element comprised of?,ducts
image26,"Is part of the endocervical mucosa comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",no
image27,Is equipments required for transcutaneous fnac?,yes
image27,What is equipments required for?,transcutaneous fnac
image27,What is required for transcutaneous fnac?,equipments
image27,Is m phase required for transcutaneous fnac?,no
image28,What is characterized by nests of closely packed glands?,hyperplasia without atypia
image28,What is hyperplasia without atypia characterized by?,nests of closely packed glands
image28,Is endoscopic view of a longitudinally-oriented mallory-weiss characterized by nests of closely packed glands?,no
image28,Is hyperplasia without atypia characterized by nests of closely packed glands?,yes
image28,How is hyperplasia without atypia characterized?,by nests of closely packed glands
image29,What are present?,superficial dermal fibrosis and vascular ectasia
image29,Are this diagrammatic representation of four normal motor units present?,no
image29,"Are superficial dermal fibrosis and vascular ectasia,  both common features,  present?",yes
image30,What is in chronic hypertension benign nephrosclerosis?,small contracted kidney
image30,What is small and contracted?,kidney
image30,Is small contracted kidney in chronic hypertension benign nephrosclerosis?,yes
image31,"Is the granuloma in the center associated with a lethal malformation,  in which the midface structures are fused or ill-formed?",no
image31,Is atrophy associated with severe internal anomalies such as maldevelopment of the brain and cardiac defects in almost all cases?,no
image31,Are the midface structures fused or ill-formed?,yes
image31,"Is stillbirth associated with a lethal malformation,  in which the midface structures are fused or ill-formed?",yes
image31,How is stillbirth associated?,with a lethal malformation
image31,What is this degree of external dysmorphogenesis associated with?,severe internal anomalies
image31,What is associated with severe internal anomalies such as maldevelopment of the brain and cardiac defects in almost all cases?,this degree of external dysmorphogenesis
image31,Is this degree of external dysmorphogenesis associated with severe internal anomalies such as maldevelopment of the brain and cardiac defects in almost all cases?,yes
image31,"What is stillbirth associated with,  in which the midface structures are fused or ill-formed?",a lethal malformation
image31,What are fused or ill-formed?,the midface structures
image31,"What is associated with a lethal malformation,  in which the midface structures are fused or ill-formed?",stillbirth
image32,"Is Amyloidosis observed late in the natural history of this form of diabetes,  with islet inflammation noted at earlier observations?",yes
image32,What is Amyloidosis observed late in?,the natural history of this form of diabetes
image32,What is noted at earlier observations?,islet inflammation
image32,Is islet inflammation noted at earlier observations?,yes
image32,"What is observed late in the natural history of this form of diabetes,  with islet inflammation noted at earlier observations?",amyloidosis
image32,"Is the tan-colored,  encapsulated small tumor noted at earlier observations?",no
image32,"Is the glomerulus observed late in the natural history of this form of diabetes,  with islet inflammation noted at earlier observations?",no
image33,Is there keratosis and orderly arrangement of increased number of layers of stratified mucosa?,yes
image33,What is there?,keratosis and orderly arrangement of increased number of layers of stratified mucosa
image33,What show features of cytologic atypia and mitosis?,individual cells in layers
image33,What do the individual cells in layers show?,features of cytologic atypia and mitosis
image33,Is the necrosed area on right side of the field keratosis and orderly arrangement of increased number of layers of stratified mucosa?,no
image33,What is there across the basement membrane?,no invasion
image33,Do defects in any of the six show features of cytologic atypia and mitosis?,no
image33,What is increased?,number of layers
image33,Is the number of layers increased?,yes
image33,Is formation of granulation tissue no invasion across the basement membrane?,no
image33,Is the pleural surface of the specimen of the lung increased?,no
image33,Do the individual cells in layers show features of cytologic atypia and mitosis?,yes
image33,Is there no invasion across the basement membrane?,yes
image34,"Are the atypical dysplastic squamous cells small, uniform, lymphocyte-like with scanty cytoplasm?",no
image34,What are the tumour cells arranged in?,sheets
image34,"What are small, uniform, lymphocyte-like with scanty cytoplasm?",individual tumour cells
image34,"Are the alveoli and respiratory bronchioles surrounding the coal macule arranged in sheets, cords or aggregates and at places form pseudorosettes?",no
image34,"Are the individual tumour cells small, uniform, lymphocyte-like with scanty cytoplasm?",yes
image34,"Are the tumour cells arranged in sheets, cords or aggregates and at places form pseudorosettes?",yes
image34,How are the individual tumour cells?,small
image34,"What are arranged in sheets, cords or aggregates and at places form pseudorosettes?",tumour cells
image35,What are toxic to macrophages?,tiny silica particles
image35,What are the tiny silica particles?,toxic to macrophages
image35,Are the tiny silica particles toxic to macrophages?,yes
image35,Is a giant cell with inclusions toxic to macrophages?,no
image36,Is early organization of intraalveolar exudate seen?,yes
image37,"Were ganglion cells absent in the rectum,  but presented in the sigmoid colon?",yes
image37,"Were all three transverse sections of myocardium absent in the rectum,  but presented in the sigmoid colon?",no
image37,"What were absent in the rectum,  presented in the sigmoid colon?",ganglion cells
image37,Where were ganglion cells absent?,in the rectum
image38,Are the effector arms of these central circuits seen in an enlarged cell?,no
image38,Are a distinct nuclear inclusion and multiple cytoplasmic inclusions seen in an enlarged cell?,yes
image38,What are a distinct nuclear inclusion and multiple cytoplasmic inclusions seen in?,an enlarged cell
image38,What are seen in an enlarged cell?,a distinct nuclear inclusion and multiple cytoplasmic inclusions
image39,What are seen?,islands of invading malignant squamous cells
image39,Are islands of invading malignant squamous cells seen?,yes
image39,Are a few well-developed cell nests with keratinisation evident?,yes
image39,Are these tumour cells evident?,no
image39,What are a few well-developed cell nests with?,keratinisation
image39,Are the opened up chambers of the heart seen?,no
image39,What are evident?,a few well-developed cell nests
image40,What is obtained by fine-needle aspiration of a papillary carcinoma?,cells
image40,Are cells obtained by fine-needle aspiration of a papillary carcinoma?,yes
image40,What are visible in some of the aspirated cells?,characteristic intranuclear inclusions
image40,How are cells obtained?,by fine-needle aspiration of papillary carcinoma
image40,Are characteristic intranuclear inclusions visible in some of the aspirated cells?,yes
image40,Is wilms tumor visible in some of the aspirated cells?,no
image40,How are characteristic intranuclear inclusions?,visible in some of the aspirated cells
image41,"Is the cause of reversible injury at the right, in the specimen shown?",no
image41,"What is at the right, in the specimen shown?",the placenta
image41,"Where is the placenta, in the specimen shown?",at the right
image41,"Is the placenta at the right, in the specimen shown?",yes
image41,Does the blue area extend from the portion of the amniotic sac to encircle the leg of the fetus?,no
image41,Does the band of amnion extend from the portion of the amniotic sac to encircle the leg of the fetus?,yes
image41,What does the band of amnion extend from ?,the portion of the amniotic sac to encircle the leg of the fetus
image41,What extends from the portion of the amniotic sac to encircle the leg of the fetus?,the band of amnion
image42,Are infants who survive presented in the background stroma?,no
image42,What are Ganglioneuromas characterized by?,clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm
image42,Are spindle-shaped Schwann cells present in the background stroma?,yes
image42,What are characterized by clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm arrow?,ganglioneuromas
image42,Is a liver characterized by clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm arrow?,no
image42,What are presented in the background stroma?,spindle-shaped schwann cells
image42,Are Ganglioneuromas characterized by clusters of large ganglion cells with vesicular nuclei and abundant eosinophilic cytoplasm (arrow)?,yes
image43,What is 'triple response ' elicited by?,firm stroking of skin of forearm with a pencil
image43,How is 'triple response ' elicited?,by firm stroking of skin of forearm with a pencil
image43,Is 'triple response ' elicited by firm stroking of skin of forearm with a pencil?,yes
image43,Is necrosis elicited by firm stroking of skin of forearm with a pencil?,no
image43,What is elicited by firm stroking of skin of forearm with a pencil?,triple response
image44,What is composed of cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view?,the tumor
image44,What is the tumor composed of?,cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view
image44,Is the tumor composed of cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view?,yes
image44,Is the wall of the artery composed of cells with abundant eosinophilic cytoplasm and small regular nuclei on this high-power view?,no
image45,What contain heart failure cells alveolar macrophages containing haemosiderin pigment?,the alveolar lumina
image45,Do the alveolar lumina contain heart failure cells alveolar macrophages containing haemosiderin pigment?,yes
image45,"Are the interstitial vasculature widened and thickened due to congestion, oedema and mild fibrosis?",no
image45,"Are the alveolar septa widened and thickened due to congestion, oedema and mild fibrosis?",yes
image45,Why are the alveolar septa widened?,due to congestion
image45,"What are widened and thickened due to congestion, oedema and mild fibrosis?",the alveolar sept
image45,What do the alveolar lumina contain?,heart failure cells (alveolar macrophages containing haemosiderin pigment) 
image46,What are quite variable in size having characteristic bubbly cytoplasm and anisonucleocytosis?,tumour cells
image46,What do the tumour cells have?,characteristic bubbly cytoplasm and anisonucleocytosis
image46,Are the tumour cells quite variable in size having characteristic bubbly cytoplasm and anisonucleocytosis?,yes
image46,What is myxoid?,background
image46,Is the background myxoid?,yes
image47,Is the stromal core composed of dense fibrous tissue which shows nonspecific inflammation?,yes
image47,Is moebic liver abscess composed of dense fibrous tissue which shows nonspecific inflammation?,no
image47,What is the stromal core composed of?,dense fibrous tissue which shows nonspecific inflammation
image47,What is composed of dense fibrous tissue which shows nonspecific inflammation?,stromal core
image47,Is ALDH covered by endocervical mucosa with squamous metaplasia?,no
image47,Is the surface covered by endocervical mucosa with squamous metaplasia?,yes
image47,What is the surface covered by?,endocervical mucosa with squamous metaplasia
image47,What is covered by endocervical mucosa with squamous metaplasia?,surface
image48,What do common warts contain?,zones of papillary epidermal proliferation
image48,What contain zones of papillary epidermal proliferation that often radiate symmetrically like the points of a crown?,common warts
image48,Do common warts contain zones of papillary epidermal proliferation that often radiate symmetrically like the points of a crown?,yes
image48,"Are the relative locations,  sizes,  and distances between genes seen at higher magnification?",no
image48,Does this specimen from a patient with periventricular leukomalacia contain zones of papillary epidermal proliferation that often radiate symmetrically like the points of a crown?,no
image48,What are seen at higher magnification (bottom)?,cytopathic changes
image48,"What maginification are pallor or halos around nuclei,  prominent keratohyalin granules,  and related cytopathic changes seen at?",higher magnification
image48,"Are pallor or halos around nuclei,  prominent keratohyalin granules,  and related cytopathic changes seen at higher magnification?",yes
image49,"Does rupture of a meningeal artery,  usually associated with a skull fracture,  show marked epidermal hyperplasia,  downward extension of rete ridges,  and prominent parakeratotic scale with infiltrating neutrophils?",no
image49,"Does microscopic examination show marked epidermal hyperplasia,  downward extension of rete ridges,  and prominent parakeratotic scale with infiltrating neutrophils?",yes
image49,"What shows marked epidermal hyperplasia,  downward extension of rete ridges psoriasiform hyperplasia,  and prominent parakeratotic scale with infiltrating neutrophils?",microscopic examination
image50,"Do testicular teratomas contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",yes
image50,What do testicular teratomas contain?,mature cells from endodermal
image50,"What contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",testicular teratomas
image50,"Do hepatocytes contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",no
image51,What does sectioned surface of the parotid gland show?,lobules of grey-white circumscribed tumour having semitranslucent parenchyma
image51,Does sectioned surface of the parotid gland show lobules of grey-white circumscribed tumour having semitranslucent parenchyma?,yes
image51,Does these cases show lobules of grey-white circumscribed tumour having semitranslucent parenchyma?,no
image51,What shows lobules of grey-white circumscribed tumour having semitranslucent parenchyma?,sectioned surface the parotid gland
image52,Are the new virions crush-smeared by flat pressure with cover slip or glass slide ?,no
image52,Are semisolid aspirates crush-smeared by flat pressure with cover slip or glass slide ?,yes
image52,What are crush-semisolid aspirates by?,flat pressure with cover slip or glass slide
image52,What are crush-smeared by flat pressure with cover slip or glass slide ?,semisolid aspirates
image53,Does a scar smaller than the original wound aspirate show megaloblastic erythropoiesis?,no
image53,Does examination of bone marrow aspirate show megaloblastic erythropoiesis?,yes
image53,What aspirate shows megaloblastic erythropoiesis?,examination of bone marrow
image54,"What is opened to show multiple submucosal,  myometrial,  and subserosal gray-white tumors,  each with a characteristic whorled appearance on cut section?",the uterus
image55,Does plaque show bundles of normal-looking smooth muscle cells?,no
image55,Does microscopic appearance of leiomyoma show bundles of normal-looking smooth muscle cells?,yes
image55,What does the microscopic appearance of leiomyoma show?,bundles of normal-looking smooth muscle cells
image55,What shows bundles of normal-looking smooth muscle cells?,microscopic appearance of leiomyoma
image56,Are various types of epithelial cells stain with cytokeratin for epithelial cells?,no
image56,What is stained with cytokeratin for epithelial cells?,same cellblock
image57,"Is normal non-activated platelet, having open canalicular system and the cytoplasmic organelles densely infiltrated by chronic inflammatory cells, chiefly lymphocytes, plasma cells and macrophages?",no
image57,"What is densely infiltrated by chronic inflammatory cells, chiefly lymphocytes, plasma cells and macrophages?",cyst wall
image57,"Is the cyst wall densely infiltrated by chronic inflammatory cells, chiefly lymphocytes, plasma cells and macrophages?",yes
image57,What is the cyst wall densely infiltrated by?,chronic inflammatory cells
image58,"Is the inner circle shown with green line comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",no
image58,"Is the epithelial element comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",yes
image58,What is the epithelial element comprised of?,ducts
image58,"What is comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",epithelial element
image59,What is the lumen filled by?,a large
image59,"Is the lumen filled by a large,  layered thrombus?",yes
image59,"Is the areas of white chalky deposits filled by a large,  layered thrombus?",no
image59,Is the wall of the aneurysm attenuated?,yes
image59,Is acute cellular rejection of a kidney graft attenuated?,no
image59,"What is filled by a large,  layered thrombus?",the lumen
image59,What is attenuated?,the wall of the aneurysm
image60,"Does higher magnification show several small malignant glands with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",yes
image60,"What does higher magnification show with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",small malignant glands
image60,"What shows several small malignant glands with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",higher magnification
image60,Are t_h17 cells crowded in between larger benign glands?,no
image60,Are the small glands crowded in between larger benign glands?,yes
image60,What is are the small glands crowded in between?,larger benign glands
image60,What is crowded in between larger benign glands?,small glands
image60,"Does embolus derived from a lower-extremity deep venous thrombus show several small malignant glands with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",no
image61,Is a child 's arm involved by a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum?,yes
image61,Are a majority of the tumor cells involved by a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum?,no
image61,How is a child 's arm involved?,by a superficial bacterial infection
image61,What is a child 's arm involved by ?,a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum
image61,What is involved by a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum?,a child's arm
image62,Has the mucosal caseating epithelioid cell granulomas having Langhans 'giant cells and peripheral layer of lymphocytes?,no
image62,What has caseating epithelioid cell granulomas having Langhans 'giant cells and peripheral layer of lymphocytes?,stroma
image62,What has the stroma caseating?,epithelioid cell granulomas having langhans 'giant cells and peripheral layer of lymphocytes
image62,Has the stroma caseating epithelioid cell granulomas having Langhans 'giant cells and peripheral layer of lymphocytes?,yes
image63,"What are relatively small,  symmetric,  and uniformly pigmented?",melanocytic nevi
image63,"Are undifferentiated pleomorphic sarcoma showing anaplastic relatively small,  symmetric,  and uniformly pigmented?",no
image63,"Are melanocytic nevi relatively small,  symmetric,  and uniformly pigmented?",yes
image64,Is the lobulated tumour infiltrating the skeletal muscle somewhat circumscribed?,yes
image64,Is iron somewhat circumscribed?,no
image64,What is cut surface?,grey-white fleshy with areas of haemorrhage and necrosis
image64,What is somewhat circumscribed?,lobulated tumour infiltrating the skeletal muscle
image64,Is cut surface grey-white fleshy with areas of haemorrhage and necrosis?,yes
image64,Is the covering mucosa grey-white fleshy with areas of haemorrhage and necrosis?,no
image64,What is grey-white fleshy with areas of haemorrhage and necrosis?,cut surface
image65,What is periodic acid-Schiff stain?,luminal obliteration
image66,Do energy stores show distinct nuclear inclusions?,no
image66,What show distinct nuclear inclusions?,infected cells
image66,What do infected cells show?,distinct nuclear and ill-defined cytoplasmic
image66,Do infected cells show distinct nuclear inclusions?,yes
image67,What is there throughout the entire thickness of the epithelium?,hyperkeratosis
image67,"Is there hyperkeratosis, parakeratosis, acanthosis, koilocytosis and presence of atypical anaplastic cells throughout the entire thickness of the epithelium?",yes
image67,"Is bone biopsy hyperkeratosis, parakeratosis, acanthosis, koilocytosis and presence of atypical anaplastic cells throughout the entire thickness of the epithelium?",no
image67,What shows mitotic figures in the layers of squamous epithelium?,photomicrograph on right under higher magnification
image67,What does photomicrograph on right under higher magnification show?,mitotic figures in the layers of squamous epithelium
image67,Does the central area show mitotic figures in the layers of squamous epithelium?,no
image67,Does photomicrograph on right under higher magnification show mitotic figures in the layers of squamous epithelium?,yes
image68,"Is the cystic change seen to extend into renal p arenchyma, compressing the cortex as a thin rim at the periphery?",yes
image68,"What is seen to extend into renal p arenchyma, compressing the cortex as a thin rim at the periphery?",cystic change
image68,Is the glomeruli enlarged and heavy?,no
image68,Is the kidney enlarged and heavy?,yes
image68,What is enlarged and heavy?,kidney
image68,Are these cysts communicating with the pelvi-calyceal system unlike polycystic kidney?,yes
image68,"Is bone biopsy seen to extend into renal p arenchyma, compressing the cortex as a thin rim at the periphery?",no
image68,What are communicating with the pelvi-calyceal system unlike polycystic kidney?,these cysts
image68,What are these cysts communicating with?,pelvi-calyceal system unlike polycystic kidney
image68,What is the cystic change seen to extend into?,renal p arenchyma
