image,question,answer
image3026,Does the periphery show marked degeneration and necrosis of hepatocytes accompanied by haemorrhage while the peripheral zone shows mild fatty change of liver cells?,no
image3026,What shows mild fatty change of liver cells?,the peripheral zone
image3027,Do the cells have features of both syncytial and fibroblastic type and form whorled appearance?,yes
image3027,What do some of the whorls contain?,psammoma bodies
image3027,What do the cells have?,features of both syncytial and fibroblastic type and form whorled appearance
image3027,Do the tips of dermal papillae have features of both syncytial and fibroblastic type and form whorled appearance?,no
image3027,Do a gaucher cell in bone marrow contain psammoma bodies?,no
image3027,Do some of the whorls contain psammoma bodies?,yes
image3027,What have features of both syncytial and fibroblastic type and form whorled appearance?,cells
image3027,What contain psammoma bodies?,some of the whorls
image3028,Is a fibrous capsule seen?,yes
image3028,Does a fibrous capsule surround the neoplastic follicles?,yes
image3028,Are the necrotic cells seen?,no
image3028,What surrounds the neoplastic follicles?,a fibrous capsule
image3028,Does high magnification surround the neoplastic follicles?,no
image3029,"What is identified by homogeneous, eosinophilic cytoplasm?",cell necrosis
image3029,What is cell necrosis identified by?,homogeneous
image3029,"Is cell necrosis identified by homogeneous, eosinophilic cytoplasm?",yes
image3029,"Is the cytoplasm identified by homogeneous, eosinophilic cytoplasm?",no
image3029,What consists of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,apoptosis 
image3029,Does Apoptosis consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,yes
image3029,Do these cells consist of condensation of nuclear chromatin and fragmentation of the cell into membrane-bound apoptotic bodies which are engulfed by macrophages?,no
image3030,"What are infiltrated with lymphocytes and some plasma cells,  which spill over into alveolar spaces?",the thickened alveolar walls
image3030,What are the thickened alveolar walls infiltrated with?,lymphocytes and some plasma cells
image3030,"Are the thickened alveolar walls infiltrated with lymphocytes and some plasma cells,  which spill over into alveolar spaces?",yes
image3030,"Is a myofiber distended with trypanosomes infiltrated with lymphocytes and some plasma cells,  which are spilling over into alveolar spaces?",no
image3031,Does silver stain demonstrate cup-shaped and round cysts within the exudate?,yes
image3031,Does congo red staining stain demonstrate cup-shaped and round cysts within the exudate?,no
image3032,Is the epithelium above the intact basement membrane delineated from the residual normocellular gland on the upper right in this low-power view?,no
image3032,What is delineated from the residual normocellular gland on the upper right in this low-power view?,a solitary hypercellular adenoma
image3032,What is a solitary hypercellular adenoma delineated from?,the residual normocellular gland on the upper right
image3032,Is a solitary hypercellular adenoma delineated from the residual normocellular gland on the upper right in this low-power view?,yes
image3033,Are congo red staining hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,no
image3033,"Do liver cells include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",no
image3033,"What include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",parenchymal changes
image3033,What do the parenchymal changes include?,sclerosed glomeruli
image3033,What are hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,vascular changes
image3033,What are the vascular changes?,hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft
image3033,Are the vascular changes hyaline arteriolosclerosis and intimal thickening of small blood vessels in the glomerular tuft?,yes
image3033,"Do the parenchymal changes include sclerosed glomeruli, tubular atrophy and fine interstitial fibrosis?",yes
image3034,What does the tumour show?,admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells
image3034,Does the tumour show admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,yes
image3034,Does Ziehl-Neelsen show admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,no
image3034,What shows admixture of spindle-shaped pleomorphic cells forming storiform pattern and histiocyte-like round to oval cells?,tumour
image3035,Are defects in any of the six well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,no
image3035,Is the most common histologic pattern well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,yes
image3035,What is the most common histologic pattern?,well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia
image3035,What is well-differentiated adenocarcinoma showing closely packed glands with cytologic atypia?,the most common histologic pattern
image3036,What is seen on the posterior aspect (lower left)?,carcinomatous tissue
image3036,Where is carcinomatous tissue seen ?,on the posterior aspect
image3036,Is higher-power photomicrograph seen on the posterior aspect (lower left)?,no
image3036,Is carcinomatous tissue seen on the posterior aspect (lower left)?,yes
image3037,What does the lumen contain?,necrotic debris
image3037,Does the centres of whorls of smooth muscle and connective tissue contain necrotic debris?,no
image3037,Does the lumen contain necrotic debris?,yes
image3037,What contains necrotic debris?,lumen
image3037,Does the lesions show an outpouching which on section is seen communicating with the intestinal lumen?,no
image3037,What shows an outpouching which on section is seen communicating with the intestinal lumen?,resected segment of the small intestine
image3038,"Did a wide-eyed,  staring gaze,  caused by overactivity of the sympathetic nervous system,  show mostly small,  blue,  primitive-appearing tumor cells?",no
image3038,What did the microscopic appearance of medulloblastoma show?,small
image3038,"Did microscopic appearance of medulloblastoma show mostly small,  blue,  primitive-appearing tumor cells?",yes
image3039,Are characteristic microscopic features irregular lobules of uniform small tumour cells with indistinct cytoplasmic outlines which are separated by fibrous tissue septa having rich vascularity?,yes
image3039,What are also included?,areas of necrosis and inflammatory infiltrate
image3039,Are areas of necrosis and inflammatory infiltrate also included?,yes
image3039,Are the lipofuscin pigment granules also included?,no
image3039,What shows PAS positive tumour cells in perivascular location?,inbox in the right photomicrograph
image3039,Does the cytoplasm show PAS positive tumour cells in perivascular location?,no
image3039,Does Inbox in the right photomicrograph show PAS positive tumour cells in perivascular location?,yes
image3039,What does Inbox in the right photomicrograph show?,pas positive tumour cells in perivascular location
image3040,Does the granulomatous response show minimal variation in nuclear size and occasional follicle formation?,no
image3040,Does high-power detail show minimal variation in nuclear size and occasional follicle formation?,yes
image3040,What shows minimal variation in nuclear size and occasional follicle formation?,high-power detail
image3041,Are the pattern of staining of anti-centromere antibodies filled with a characteristic foamy acellular exudate?,no
image3041,What are filled with a characteristic foamy acellular exudate?,the alveoli
image3041,Are the alveoli filled with a characteristic foamy acellular exudate?,yes
image3041,What are the alveoli filled with?,a characteristic foamy acellular exudate
image3042,"How is Advanced organizing pneumonia,  featuring transformation of exudates to fibromyxoid masses infiltrate?",by macrophages and fibroblasts
image3042,Does advanced organizing pneumonia  feature transformation of exudates to fibromyxoid masses infiltrated by macrophages and fibroblasts?,yes
image3042,What is infiltrated by macrophages and fibroblasts?,fibromyxoid masses
image3043,What is composed of granulation tissue overlaid by degraded blood?,the necrotic ulcer base
image3043,What is the necrotic ulcer base composed of?,granulation tissue overlaid by degraded blood
image3043,Is reversible injury composed of granulation tissue overlaid by degraded blood?,no
image3043,Is the necrotic ulcer base composed of granulation tissue overlaid by degraded blood?,yes
image3044,What are prominent?,intraepithelial and lamina propria neutrophils
image3044,Are histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media prominent?,no
image3044,Are intraepithelial and lamina propria neutrophils prominent?,yes
image3045,"Infiltration of the surface epithelium by T lymphocytes , which can be recognized by whose stained nuclei labeled T ?",their
image3046,How does a Masson trichrome preparation show complete replacement of virtually all glomeruli?,by blue-staining collagen
image3046,What does a Masson trichrome preparation show?,complete replacement of virtually all glomeruli by blue-staining collagen
image3046,What shows complete replacement of virtually all glomeruli by blue-staining collagen?,a masson trichrome preparation
image3046,Does a Masson trichrome preparation show complete replacement of virtually all glomeruli by blue-staining collagen?,yes
image3046,Does there show complete replacement of virtually all glomeruli by blue-staining collagen?,no
image3047,Are the upper parts of both lungs present in the putamen and thalamus?,no
image3047,Are abscesses present in the putamen and thalamus?,yes
image3047,Where are abscesses present?,in the putamen and thalamus
image3047,What are present in the putamen and thalamus?,abscesses
image3048,Is abscesses due to the presence of melanin?,no
image3048,What is due to the presence of melanin?,the dark color of the tumor nodules
image3048,Are congenital capillary hemangioma at 2 years of age after the lesion distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,no
image3048,Are metastatic lesions distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,yes
image3048,By whose multicentricity are metastatic lesions distinguished grossly from most primary central nervous system tumors?,metastatic grossly from most primary central nervous system tumors by their and well-demarcated margins
image3048,Is the dark color of the tumor nodules in this specimen due to the presence of melanin?,yes
image3048,What is the dark color of the tumor nodules in this specimen due to?,the presence of melanin
image3048,Metastatic lesions are distinguished grossly from most primary central nervous system tumors by whose multicentricity and well-demarcated margins ?,their
image3048,What are distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,metastatic lesions
image3049,What is there of the nuclear chromatin which is eventually extruded from the cell at the late erythroblast stage?,progressive condensation of the nuclear chromatin
image3049,Is there progressive condensation of the nuclear chromatin which is eventually extruded from the cell at the late erythroblast stage?,yes
image3049,Does the cytoplasm contain progressively less rna and more haemoglobin?,yes
image3049,What does the cytoplasm contain?,progressively less rna and more haemoglobin
image3049,Does the circle shown with red line contain progressively less rna and more haemoglobin?,no
image3049,What contains progressively less rna and more haemoglobin?,the cytoplasm 
image3050,"What shows crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",pbf
image3050,"Does pbf show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",yes
image3050,"Does the peripheral zone show crescent shaped elongated red blood cells, a few target cells and a few erythroblasts?",no
image3051,Does rest of the kidney have reniform contour?,yes
image3051,"Does the margin of the colony show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",no
image3051,What shows a large and tan mass while rest of the kidney has reniform contour?,upper pole of the kidney
image3051,What has reniform contour?,rest of the kidney
image3051,What does the upper pole of the kidney show?,a large and tan mass
image3051,Does the upper pole of the kidney show a large and tan mass while rest of the kidney has reniform contour?,yes
image3051,"Does sectioned surface show irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",yes
image3051,Does mucicarmine show a large and tan mass while rest of the kidney has reniform contour?,no
image3051,"What shows irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",sectioned surface
image3051,How does sectioned surface show?,irregular
image3051,Does their lumina have reniform contour?,no
image3051,What does rest of the kidney have?,reniform contour
image3052,Does the wedge-shaped infarct show atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,no
image3052,What do the glomeruli show?,periglomerular fibrosis
image3052,Are the tubules surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,yes
image3052,Are trophozoites of entamoeba histolytica included thick-walled?,no
image3052,Are the blood vessels included are thick-walled?,yes
image3052,What show periglomerular fibrosis?,glomeruli
image3052,What included are thick-walled?,blood vessels
image3052,Do the external surface of small intestine show periglomerular fibrosis?,no
image3052,Do the glomeruli show periglomerular fibrosis?,yes
image3052,What shows atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,scarred area
image3052,What does the scarred area show?,atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation
image3052,Does the scarred area show atrophy of some tubules and dilatation of others which contain colloid casts thyroidisation?,yes
image3052,What are surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,tubules
image3052,What are the tubules surrounded by?,abundant fibrous tissue and chronic interstitial inflammatory reaction
image3052,Are the capillary walls surrounded by abundant fibrous tissue and chronic interstitial inflammatory reaction?,no
image3053,Are spiral-shaped Helicobacter pylori bacilli highlighted in this Warthin-Starry silver stain?,yes
image3053,What are highlighted in this Warthin-Starry silver stain?,spiral-shaped helicobacter pylori bacilli
image3053,Are iron deposits shown by a special staining process abundant within surface mucus?,no
image3053,How are spiral-shaped Helicobacter pylori bacilli?,highlighted in this warthin-starry silver stain
image3053,Is the atrium highlighted in this Warthin-Starry silver stain?,no
image3053,Are organisms abundant within surface mucus?,yes
image3053,What are organisms abundant within?,surface mucus
image3053,What are abundant within surface mucus?,organisms
image3054,"Are 3 components: ghon 's focus, lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?",no
image3054,Are the alveolar walls lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?,yes
image3054,What are the alveolar walls lined by?,cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern
image3054,What are lined by cuboidal to tall columnar and mucin-secreting tumour cells with papillary growth pattern?,alveolar walls
image3055,Are the alveoli and respiratory bronchioles surrounding the coal macule distended?,yes
image3055,What are distended?,alveoli and respiratory bronchioles surrounding the coal macule
image3055,Are particles at the end of the smear seen surrounding respiratory bronchioles?,no
image3055,Are coal macules composed of aggregates of dust-laden macrophages and collagens seen surrounding respiratory bronchioles?,yes
image3055,What are coal macules composed of?,aggregates of dust-laden macrophages and collagens are seen surrounding respiratory bronchioles
image3055,What are seen surrounding respiratory bronchioles?,coal macules composed of aggregates of dust-laden macrophages and collagens
image3055,Are the chambers distended?,no
image3056,"Are large parts of the lung parenchyma replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?",yes
image3056,"What are replaced by multiple, variable-sized, circumscribed nodular masses which are grey-white in colour?",large parts of the lung parenchyma
image3056,What are large parts of the lung parenchyma replaced by?,multiple
image3057,"Is there increased fibrosis in the red pulp, capsule and the trabeculae?",yes
image3057,What are dilated and congested?,the sinuses
image3057,"Is the necrosed area on right side of the field increased fibrosis in the red pulp, capsule and the trabeculae?",no
image3057,Are the sinuses dilated and congested?,yes
image3057,Is part of the oesophagus which is normally lined by squamous epithelium also seen?,no
image3057,Are the nuclei dilated and congested?,no
image3057,Is gamna-gandy body also seen?,yes
image3057,"What is there increased in the red pulp, capsule and the trabeculae?",fibrosis trabeculae
image3058,Is pidural haematoma multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,no
image3058,Is the main mass multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,yes
image3058,What is the main mass multilobulated with?,increased fat while lower part of the image shows a separate encapsulated gelatinous mass
image3058,What is multilobulated with increased fat while lower part of the image shows a separate encapsulated gelatinous mass?,main mass
image3058,Does Hurthle show a separate encapsulated gelatinous mass?,no
image3058,What does lower part of the image show?,a separate encapsulated gelatinous mass
image3058,What shows a separate encapsulated gelatinous mass?,lower part of the image
image3058,What shows circumscribed?,cut surface of both the masses
image3058,Does lower part of the image show a separate encapsulated gelatinous mass?,yes
image3058,Do collections of histiocytes show circumscribed?,no
image3058,Does the masses show circumscribed?,no
image3059,What shows a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,microscopy
image3059,What does microscopy show?,microscopy
image3059,Does microscopy show a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,yes
image3059,Does the necrotic tissue show a well-differentiated tumour composed of spindle-shaped cells forming interlacing fascicles producing a typical Herring-bone pattern?,no
image3059,What are also seen?,a few mitotic figures
image3059,Are a few mitotic figures also seen?,yes
image3060,What do a few areas show?,superficial invasive islands of malignant cells
image3060,"Is there keratosis, irregular stratification, cellular pleomorphism, increased and abnormal mitotic figures and individual cell keratinisation, while a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?",yes
image3060,Do the squamous cells show superficial invasive islands of malignant cells in the subepithelial soft tissues?,no
image3060,Do a few areas show superficial invasive islands of malignant cells in the subepithelial soft tissues?,yes
image3060,What show superficial invasive islands of malignant cells in the subepithelial soft tissues?,a few areas
image3061,"Did histologic view of the nodular stage demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",yes
image3061,"What demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",histologic view of the nodular stage
image3061,"Did periodic acid-schiff demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",no
image3062,How does microscopy show characteristic lining of the cyst wall?,by epidermis and its appendages
image3062,Are etastatic carcinomatous deposits in the also seen?,no
image3062,Are islands of mature cartilage also seen?,yes
image3062,What are also seen?,islands of mature cartilage
image3062,Does mall show characteristic lining of the cyst wall by epidermis and its appendages?,no
image3062,Microscopy shows characteristic lining of the cyst wall by epidermis and whose appendages ?,its
image3062,Does microscopy show characteristic lining of the cyst wall by epidermis and its appendages?,yes
image3062,What shows characteristic lining of the cyst wall by epidermis and its appendages?,microscopy
image3063,Is ziehl-neelsen or afb parallel to the increasing severity of grades?,no
image3063,Do the grades of CIN-1 or mild dysplasia show progressive increase in the number of abnormal cells parallel to the increasing severity of grades?,yes
image3064,Does the greenish discoloration not occur in the absence of appropriate T-cell-mediated immunity?,no
image3064,Does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show massive intracellular macrophage infection with acid-fast organisms filamentous and pink in this acid-fast stain preparation?,yes
image3064,What does not occur in the absence of appropriate T-cell-mediated immunity?,granulomatous host response
image3064,Does granulomatous host response not occur in the absence of appropriate T-cell-mediated immunity?,yes
image3064,What shows massive intracellular macrophage infection with acid-fast organisms (filamentous and pink in this acid-fast stain preparation)?,mycobacterium avium infection
image3064,What does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show?,massive intracellular macrophage infection with acid-fast organisms
image3064,What is AIDS?,acquired immunodeficiency syndrome
image3064,Are there inadequate T cells to mount a granulomatous response?,yes
image3065,Does the renal glomerulus show markedly thickend glomerular basement membrane in a diabetic?,yes
image3066,"Are the cells large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",yes
image3066,"What are large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",the cells
image3066,"Are iseases large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",no
image3067,Is hematoxylin-eosin seen in small arteries?,no
image3067,Where is plexiform lesion characteristic of advanced pulmonary hypertension seen?,in small arteries
image3067,What is seen in small arteries?,plexiform lesion
image3067,Is plexiform lesion characteristic of advanced pulmonary hypertension seen in small arteries?,yes
image3068,"What is there, especially around small blood vessels in the interstitium?",patchy myocardial fibrosis
image3068,"Is an intimal patchy myocardial fibrosis, especially around small blood vessels in the interstitium?",no
image3068,"Is there patchy myocardial fibrosis, especially around small blood vessels in the interstitium?",yes
image3068,What is there?,patchy myocardial fibrosis
image3069,Where is the end of the long bone expanded?,in region of epiphysis
image3069,What is the end of the long bone expanded in?,region of epiphysis
image3069,Is the end of the long bone expanded in the region of epiphysis?,yes
image3069,What is expanded in the region of epiphysis?,end of the long bone
image3069,"Does the sectioned surface of rectal wall show circumscribed, dark tan, haemorrhagic and necrotic tumour?",no
image3069,"Does sectioned surface show circumscribed, dark tan, haemorrhagic and necrotic tumour?",yes
image3069,"What shows circumscribed, dark tan, haemorrhagic and necrotic tumour?",sectioned surface
image3069,Is section from margin of amoebic ulcer expanded in the region of epiphysis?,no
image3070,What did the collection of microglial cells form?,a poorly defined nodule
image3070,Did the cysts form a poorly defined nodule?,no
image3070,Did collection of microglial cells form a poorly defined nodule?,yes
image3070,What form a poorly defined nodule?,collection of microglial cells
image3071,Did onsumption of tobacco in india open appendix showing impacted faecolith in the lumen and exudate on the serosa?,no
image3071,Did gross appearance of longitudinally open appendix showing impacted faecolith in the lumen and exudate on the serosa?,yes
image3072,What is subacute endocarditis caused by?,streptococcus viridans on a previously myxomatous mitral valve
image3072,How is subacute endocarditis caused?,by streptococcus viridans on a previously myxomatous mitral valve
image3072,Is subacute endocarditis caused by streptococcus viridans on a previously myxomatous mitral valve?,yes
image3072,Is the transmural light area in the posterolateral left ventricle caused by streptococcus viridans on a previously myxomatous mitral valve?,no
image3072,What is caused by Streptococcus viridans on a previously myxomatous mitral valve?,subacute endocarditis
image3073,Do the white circles stain?,no
image3073,"Does microscopic appearance of the thickened endocardium,  which contains smooth muscle cells and abundant acid mucopolysaccharides blue-green in this Movat stain?",yes
image3074,Are the principal cellular alterations that characterize reversible cell injury and necrosis illustrated?,yes
image3074,"How is reversible injury considered to do if the injurious stimulus is not removed, by convention?",culminate in necrosis
image3074,Is reversible injury considered to culminate in necrosis if the injurious stimulus is not removed by convention?,yes
image3074,"What is considered to culminate in necrosis if the injurious stimulus is not removed, by convention?",reversible injury
image3074,Are methylation of particular histone residues illustrated?,no
image3074,What are illustrated?,the principal cellular alterations that characterize reversible cell injury and necrosis
image3075,Where is the atrium shown?,on the right in this four-chamber view of the heart
image3075,Is low-power view of a cross section of a skin blister showing the epidermis marked concentric thickening of the left ventricular wall causing reduction in lumen size?,no
image3075,Is there marked concentric thickening of the left ventricular wall causing reduction in lumen size?,yes
image3075,What is causing reduction in lumen size?,concentric thickening of the left ventricular wall
image3075,What is concentric thickening of the left ventricular wall causing?,reduction in lumen size
image3075,What are shown on the right in this four-chamber view of the heart?,the left ventricle and left atrium
image3075,Where is the pacemaker?,in the right ventricle
image3075,Are the extensive subcutaneous fibrosis shown on the right in this four-chamber view of the heart?,no
image3075,Are the left ventricle and left atrium shown on the right in this four-chamber view of the heart?,yes
image3075,Are this degree of external dysmorphogenesis left atrium shown on the right in this four-chamber view of the heart?,no
image3075,What is presented incidentally in the right ventricle?,a pacemaker
image3075,Is a pacemaker presented incidentally in the right ventricle?,yes
image3075,Is cohesive tumor in retina presented incidentally in the right ventricle?,no
image3075,Is the atrium shown on the right in this four-chamber view of the heart?,yes
image3076,Does photomicrograph on right under higher magnification begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,no
image3076,Does process begin as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,yes
image3076,What does process begin as?,a focus of microabscess in a vascular loop in the marrow which expands to stimulate
image3076,What begins as a focus of microabscess in a vascular loop in the marrow which expands to stimulate?,process
image3076,Is the cyst wall beginning of reactive woven bone formation by the periosteum?,no
image3076,What expands further causing necrosis of the cortex called sequestrum?,abscess
image3076,What does the abscess expand?,further causing necrosis of the cortex called sequestrum
image3076,Does the abscess expand further causing necrosis of the cortex called sequestrum?,yes
image3076,What is there of reactive woven bone formation by the periosteum?,beginning
image3076,Do the alveolar walls expand further causing necrosis of the cortex called sequestrum?,no
image3076,What is called involucrum?,formation of viable new reactive bone surrounding the sequestrum
image3076,What is the formation of viable new reactive bone surrounding the sequestrum called?,involucrum
image3076,Does part of the endocervical mucosa produce a draining sinus?,no
image3076,"Does the extension of infection into the joint space, epiphysis and the skin produce a draining sinus?",yes
image3076,"What does the extension of infection into the joint space, epiphysis and the skin produce?",a draining sinus
image3076,What produces a draining sinus?,extension of infection into the joint space
image3076,Is the formation of viable new reactive bone surrounding the sequestrum called involucrum?,yes
image3076,Is an asbestos body called involucrum?,no
image3076,Is there beginning of reactive woven bone formation by the periosteum?,yes
image3077,What shows lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,sectioned surface
image3077,Why is the bone expanded?,due to a gelatinous tumour
image3077,What is expanded externally due to a gelatinous tumour?,bone
image3077,Is the bone expanded externally due to a gelatinous tumour?,yes
image3077,Is the basal layer expanded externally due to a gelatinous tumour?,no
image3077,Does sectioned surface show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,yes
image3077,Does the amputated head of the long bone show lobulated mass with bluish cartilaginous hue infiltrating the soft tissues?,no
image3077,How does sectioned surface show lobulated mass?,with bluish cartilaginous hue infiltrating the soft tissues
image3078,What represents cell cycle for stable cells?,circle shown with yellow-orange line
image3078,Does adp represent cell cycle for permanent cells?,no
image3078,Does the particle represent cell cycle for stable cells?,no
image3078,What represents cell cycle for labile cells?,the particle
image3078,Does the circle shown with red line represent cell cycle for permanent cells?,yes
image3078,Does the inner circle shown with green line represent cell cycle for labile cells?,yes
image3078,Does amyloid represent cell cycle for labile cells?,no
image3078,What represents cell cycle for permanent cells?,circle shown with red line
image3078,What is the circle shown with?,red line represents cell cycle for permanent cells
image3078,What is the inner circle shown with?,green line
image3078,Does circle shown with yellow-orange line represent cell cycle for stable cells?,yes
image3079,Are the nucleus lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,no
image3079,Is part of the endocervical mucosa lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,yes
image3079,What is part of the endocervical mucosa lined by?,normal columnar epithelium
image3079,What is lined by normal columnar epithelium while foci of metaplastic squamous epithelium are seen at other places?,part of the endocervical mucosa
image3079,Where are foci of metaplastic squamous epithelium seen?,at other places
image3079,Are foci of metaplastic squamous epithelium seen at other places?,yes
image3080,There is narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in whose core ?,its
image3080,Is there narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?,yes
image3080,Is the alveolar septa narrowing of the lumen of coronary due to fully developed atheromatous plaque which has dystrophic calcification in its core?,no
image3081,Did haphazard crypt organization result in acute adrenal insufficiency?,no
image3081,Did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in acute adrenal insufficiency?,yes
image3081,What did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in?,acute adrenal insufficiency
image3081,What result in acute adrenal insufficiency?,bilateral adrenal hemorrhage
image3081,Is the tissue discernible in this photomicrograph?,no
image3081,What were grossly hemorrhagic and shrunken at autopsy?,the adrenal glands
image3081,Were the adrenal glands grossly hemorrhagic and shrunken at autopsy?,yes
image3081,What is discernible in this photomicrograph?,little residual cortical architecture
image3081,Is little residual cortical architecture discernible in this photomicrograph?,yes
image3082,Is this more cellular and disorganized than Fig.654?,yes
image3083,What does the stratum corneum around the hair follicle show?,presence of numerous arthrospores and hyphae
image3083,Does the stratum corneum around the hair follicle show presence of numerous arthrospores and hyphae?,yes
image3083,Does the smear show presence of numerous arthrospores and hyphae?,no
image3083,What shows presence of numerous arthrospores and hyphae?,stratum corneum around the hair follicle
image3084,What are nodular masses of calcium heaped up within?,the sinuses valsalva
image3084,One cusp has a partial fusion at whose center ?,its
image3084,"Are note bowing of legs as a consequence of the formation of poorly not fused,  as in rheumatic aortic valve stenosis?",no
image3084,"Are the commissures not fused,  as in rheumatic aortic valve stenosis?",yes
image3084,Are nodular masses of calcium heaped up within the sinuses of Valsalva?,yes
